product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/astrons-braslet-s-podveskami-1696981461/?at=NOtwpzVD3c34j5KjFoRYKYoUrjLvXwtNgm73mINO7LVq&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,ASTRONS Браслет с подвесками,,False,1341,2750.0,−51%,4.8,157.0,,OZON
/product/braslet-muzhskoy-s-runoy-soulu-i-naturalnym-kamnem-chernyy-agat-881424281/?at=A6tG58rLOcywvwwyCXz7n1lFglPOG8FoQzPK1skY5Ll8&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет мужской с руной Соулу и натуральным камнем Черный агат,,False,974,4200.0,−76%,4.9,2938.0,,OZON
/product/braslet-dlya-ryb-iz-naturalnogo-lunnogo-kamnya-v-podarochnoy-upakovke-obereg-iz-busin-na-ruku-1704675548/?at=28t0QgKP3sxAwZKvc6Yql2NCMB48A7h8VJxqMhG1V3Ry&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет для Рыб из натурального Лунного камня в подарочной упаковке / Оберег из бусин на руку / Браслет Знак Зодиака Рыбы,,False,885,1890.0,−53%,4.9,1185.0,,OZON
/product/braslet-iz-naturalnyh-kamney-agata-i-lavy-ruchnoy-raboty-1751515921/?at=nRtrVklADTEv09W6IlD7X90U14rXxZtjNnGMzuOnD7E6&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из натуральных камней Агата и Лавы ручной работы,,False,466,2000.0,−76%,4.8,83.0,,OZON
/product/braslet-muzhskoy-zhenskiy-s-runoy-fehu-i-naturalnym-kamnem-chernyy-agat-1733479965/?at=x6tPjzmnvsBMDW71uo9GDNxtr80mg8HgVWY2RCYQkxEr&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет мужской/женский с руной Феху и натуральным камнем Черный агат,,False,868,2850.0,−69%,5.0,331.0,,OZON
/product/talisman-koltso-yupitera-braslet-iz-matovogo-kamnya-yashmy-dizaynerskiy-obereg-iz-naturalnyh-kamney-827708615/?at=GRt296WK4iml05Y8TkmrJx7IlYpxv7srwmEG9H4mDRQN&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Талисман ""Кольцо Юпитера""/ Браслет из матового камня Яшмы/Дизайнерский оберег из натуральных камней /Браслет женский на резинке",,False,1396,3589.0,−61%,4.9,303.0,,OZON
/product/runicheskiy-braslet-obereg-muzhskoy-zhenskiy-iz-naturalnyh-kamney-tigrovyy-glaz-shungit-1655124589/?at=k2tovPY8BskR23gkt4mLvK1hLQYrLNcR53JPOSzY1pQ&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Рунический браслет - оберег мужской/женский из натуральных камней тигровый глаз, шунгит и вулканической лавой с руной Даждьбог",,False,934,2800.0,−66%,5.0,331.0,,OZON
/product/tuata-de-danann-braslet-muzhskoy-zhenskiy-iz-naturalnogo-kamnya-yashma-i-goluboy-agat-501688901/?at=vQtrZROp8TyEPp4lt9pv7AqI4JOROzSWMk85ytZ92XM8&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Туата де Дананн - Браслет мужской / женский из натурального камня (яшма и голубой агат),Sigurd,False,1114,1850.0,−39%,4.9,1245.0,,OZON
/product/braslet-iz-naturalnyh-kamney-yashma-drakonovaya-braslet-iz-busin-8mm-1627607241/?at=36tWvO76Ks9rpxJWS0p6RZLHP27255cY42vG4SlvnAnk&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет из натуральных камней яшма драконовая, браслет из бусин 8мм",,False,257,980.0,−73%,4.8,1329.0,,OZON
/product/braslet-muzhskoy-amulet-bogatstva-i-blagopoluchiya-runicheskiy-iz-naturalnyh-kamney-runa-dazhdbog-1784485347/?at=jYtZ0VlKmSjKm4rxhD6LyW8HNR38Q2IAxYzYmSLmg9Gp&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет мужской амулет богатства и благополучия, рунический из натуральных камней, Руна Даждьбог и натуральный Тигровый глаз",,False,607,6469.0,−90%,5.0,46.0,,OZON
